Date,Firm Name,Period,Rating,Recommendation,Target Price
2017-04-18,Credit Suisse,Not Provided,5,outperform,67.0
2017-04-18,EVA Dimensions,Not Provided,1,sell,-0.0
2017-04-11,"Keefe, Bruyette & Woods",12 month,5,outperform,65.5
2017-04-10,Jefferies,Not Provided,5,buy,70.0
2017-04-07,J.P. Morgan,9 month,3,neutral,62.0
2017-04-05,"Sandler O'Neill & Partners, LP",12 month,5,buy,67.0
2017-04-05,Evercore ISI,12 month,5,outperform,66.0
2017-04-05,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2017-04-04,Goldman Sachs,12 month,5,Buy/Neutral,66.0
2017-04-03,RBC Capital Markets,12 month,3,sector perform,60.0
2017-03-13,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-03-09,Raymond James,12 month,5,outperform,63.0
2017-03-02,UBS,12 month,5,buy,65.0
2017-02-08,Argus Research Corp,Not Provided,5,buy,68.0
2017-04-25,Buckingham Research Group,12 month,5,buy,66.0
2017-04-18,Credit Suisse,Not Provided,5,outperform,67.0
2017-04-18,EVA Dimensions,Not Provided,1,sell,-0.0
2017-04-11,"Keefe, Bruyette & Woods",12 month,5,outperform,65.5
2017-04-10,Jefferies,Not Provided,5,buy,70.0
2017-04-07,J.P. Morgan,9 month,3,neutral,62.0
2017-04-05,"Sandler O'Neill & Partners, LP",12 month,5,buy,67.0
2017-04-05,Evercore ISI,12 month,5,outperform,66.0
2017-04-05,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2017-04-04,Goldman Sachs,12 month,5,Buy/Neutral,66.0
2017-04-03,RBC Capital Markets,12 month,3,sector perform,60.0
2017-03-13,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-03-09,Raymond James,12 month,5,outperform,63.0
2017-03-02,UBS,12 month,5,buy,65.0
2017-02-08,Argus Research Corp,Not Provided,5,buy,68.0
2017-04-25,Buckingham Research Group,12 month,5,buy,66.0
2017-04-18,Credit Suisse,Not Provided,5,outperform,67.0
2017-04-18,EVA Dimensions,Not Provided,1,sell,-0.0
2017-04-11,"Keefe, Bruyette & Woods",12 month,5,outperform,65.5
2017-04-10,Jefferies,Not Provided,5,buy,70.0
2017-04-07,J.P. Morgan,9 month,3,neutral,62.0
2017-04-05,"Sandler O'Neill & Partners, LP",12 month,5,buy,67.0
2017-04-05,Evercore ISI,12 month,5,outperform,66.0
2017-04-05,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2017-04-04,Goldman Sachs,12 month,5,Buy/Neutral,66.0
2017-04-03,RBC Capital Markets,12 month,3,sector perform,60.0
2017-03-13,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-03-09,Raymond James,12 month,5,outperform,63.0
2017-03-02,UBS,12 month,5,buy,65.0
2017-02-08,Argus Research Corp,Not Provided,5,buy,68.0
2017-04-25,Buckingham Research Group,12 month,5,buy,66.0
2017-04-18,Credit Suisse,Not Provided,5,outperform,67.0
2017-04-18,EVA Dimensions,Not Provided,1,sell,-0.0
2017-04-11,"Keefe, Bruyette & Woods",12 month,5,outperform,65.5
2017-04-10,Jefferies,Not Provided,5,buy,70.0
2017-04-07,J.P. Morgan,9 month,3,neutral,62.0
2017-04-05,"Sandler O'Neill & Partners, LP",12 month,5,buy,67.0
2017-04-05,Evercore ISI,12 month,5,outperform,66.0
2017-04-05,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2017-04-04,Goldman Sachs,12 month,5,Buy/Neutral,66.0
2017-04-03,RBC Capital Markets,12 month,3,sector perform,60.0
2017-03-13,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-03-09,Raymond James,12 month,5,outperform,63.0
2017-03-02,UBS,12 month,5,buy,65.0
2017-02-08,Argus Research Corp,Not Provided,5,buy,68.0
2017-04-25,Buckingham Research Group,12 month,5,buy,66.0
2017-04-18,Credit Suisse,Not Provided,5,outperform,67.0
2017-04-18,EVA Dimensions,Not Provided,1,sell,-0.0
2017-04-11,"Keefe, Bruyette & Woods",12 month,5,outperform,65.5
2017-04-10,Jefferies,Not Provided,5,buy,70.0
2017-04-07,J.P. Morgan,9 month,3,neutral,62.0
2017-04-05,"Sandler O'Neill & Partners, LP",12 month,5,buy,67.0
2017-04-05,Evercore ISI,12 month,5,outperform,66.0
2017-04-05,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2017-04-04,Goldman Sachs,12 month,5,Buy/Neutral,66.0
2017-04-03,RBC Capital Markets,12 month,3,sector perform,60.0
2017-03-13,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-03-09,Raymond James,12 month,5,outperform,63.0
2017-03-02,UBS,12 month,5,buy,65.0
2017-02-08,Argus Research Corp,Not Provided,5,buy,68.0
2017-04-25,Buckingham Research Group,12 month,5,buy,66.0
2017-04-18,Credit Suisse,Not Provided,5,outperform,67.0
2017-04-18,EVA Dimensions,Not Provided,1,sell,-0.0
2017-04-11,"Keefe, Bruyette & Woods",12 month,5,outperform,65.5
2017-04-10,Jefferies,Not Provided,5,buy,70.0
2017-04-07,J.P. Morgan,9 month,3,neutral,62.0
2017-04-05,"Sandler O'Neill & Partners, LP",12 month,5,buy,67.0
2017-04-05,Evercore ISI,12 month,5,outperform,66.0
2017-04-05,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2017-04-04,Goldman Sachs,12 month,5,Buy/Neutral,66.0
2017-04-03,RBC Capital Markets,12 month,3,sector perform,60.0
2017-03-13,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-03-09,Raymond James,12 month,5,outperform,63.0
2017-03-02,UBS,12 month,5,buy,65.0
2017-02-08,Argus Research Corp,Not Provided,5,buy,68.0
2017-04-25,Buckingham Research Group,12 month,5,buy,66.0
2017-04-18,Credit Suisse,Not Provided,5,outperform,67.0
2017-04-18,EVA Dimensions,Not Provided,1,sell,-0.0
2017-04-11,"Keefe, Bruyette & Woods",12 month,5,outperform,65.5
2017-04-10,Jefferies,Not Provided,5,buy,70.0
2017-04-07,J.P. Morgan,9 month,3,neutral,62.0
2017-04-05,"Sandler O'Neill & Partners, LP",12 month,5,buy,67.0
2017-04-05,Evercore ISI,12 month,5,outperform,66.0
2017-04-05,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2017-04-04,Goldman Sachs,12 month,5,Buy/Neutral,66.0
2017-04-03,RBC Capital Markets,12 month,3,sector perform,60.0
2017-03-13,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-03-09,Raymond James,12 month,5,outperform,63.0
2017-03-02,UBS,12 month,5,buy,65.0
2017-02-08,Argus Research Corp,Not Provided,5,buy,68.0
2017-03-30,RBC Capital Markets,12 month,3,sector perform,60.0
2017-03-27,Buckingham Research Group,12 month,5,buy,66.0
2017-03-27,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2017-03-16,"Keefe, Bruyette & Woods",12 month,5,outperform,63.5
2017-03-13,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-03-09,Raymond James,12 month,5,outperform,63.0
2017-03-08,Credit Suisse,Not Provided,5,outperform,67.0
2017-03-03,"Sandler O'Neill & Partners, LP",12 month,5,buy,67.0
2017-03-03,Evercore ISI,12 month,5,outperform,64.0
2017-03-02,UBS,12 month,5,buy,65.0
2017-02-17,Jefferies,12 month,5,buy,66.0
2017-02-08,Argus Research Corp,Not Provided,5,buy,68.0
2017-02-07,J.P. Morgan,12 month,3,neutral,62.0
2017-01-17,EVA Dimensions,Not Provided,1,sell,-0.0
2016-12-01,Goldman Sachs,12 month,5,Buy/Neutral,65.0
2017-04-25,Buckingham Research Group,12 month,5,buy,66.0
2017-04-18,Credit Suisse,Not Provided,5,outperform,67.0
2017-04-18,EVA Dimensions,Not Provided,1,sell,-0.0
2017-04-11,"Keefe, Bruyette & Woods",12 month,5,outperform,65.5
2017-04-10,Jefferies,Not Provided,5,buy,70.0
2017-04-07,J.P. Morgan,9 month,3,neutral,62.0
2017-04-05,"Sandler O'Neill & Partners, LP",12 month,5,buy,67.0
2017-04-05,Evercore ISI,12 month,5,outperform,66.0
2017-04-05,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2017-04-04,Goldman Sachs,12 month,5,Buy/Neutral,66.0
2017-04-03,RBC Capital Markets,12 month,3,sector perform,60.0
2017-03-13,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-03-09,Raymond James,12 month,5,outperform,63.0
2017-03-02,UBS,12 month,5,buy,65.0
2017-02-08,Argus Research Corp,Not Provided,5,buy,68.0
2017-05-03,RBC Capital Markets,12 month,3,sector perform,60.0
2017-05-03,Jefferies,12 month,5,buy,70.0
2017-05-03,"Keefe, Bruyette & Woods",12 month,5,outperform,65.5
2017-05-03,Raymond James,12 month,5,outperform,66.0
2017-05-03,Buckingham Research Group,12 month,5,buy,66.0
2017-05-03,Evercore ISI,12 month,5,outperform,66.0
2017-05-03,Wells Fargo Securities,Not Provided,3,market perform,-0.0
2017-04-18,Credit Suisse,Not Provided,5,outperform,67.0
2017-04-18,EVA Dimensions,Not Provided,1,sell,-0.0
2017-04-07,J.P. Morgan,9 month,3,neutral,62.0
2017-04-05,"Sandler O'Neill & Partners, LP",12 month,5,buy,67.0
2017-04-04,Goldman Sachs,12 month,5,Buy/Neutral,66.0
2017-03-13,"Morningstar, Inc",Not Provided,3,hold,-0.0
2017-03-02,UBS,12 month,5,buy,65.0
2017-02-08,Argus Research Corp,Not Provided,5,buy,68.0
